,source,EWCL,target,value,region
1,North,Water,Sichuan,1094.8786338642228,四川
2,Northeast,Water,Sichuan,573.7431672911467,四川
3,Central,Water,Sichuan,2589.503427592892,四川
4,Central Coast,Water,Sichuan,522.2762055977636,四川
5,South Coast,Water,Sichuan,567.2541535018754,四川
6,Southwest,Water,Sichuan,1496.7107670423568,四川
7,Northwest,Water,Sichuan,1341.8975864642616,四川
8,EU,Water,Sichuan,113.75210023164676,四川
9,Non-EU,Water,Sichuan,57.01166196984461,四川
10,EA,Water,Sichuan,62.18803931819155,四川
11,BRIIAT,Water,Sichuan,2734.4607636649307,四川
12,NAFTA,Water,Sichuan,1730.5991053635844,四川
13,RoW,Water,Sichuan,4805.749609721055,四川
15,North,Energy,Sichuan,4.728343244506248,四川
16,Northeast,Energy,Sichuan,1.340108128670097,四川
17,Central,Energy,Sichuan,5.100528455871614,四川
18,Central Coast,Energy,Sichuan,3.0075426018240083,四川
19,South Coast,Energy,Sichuan,1.8234241391664991,四川
20,Southwest,Energy,Sichuan,3.281063094918085,四川
21,Northwest,Energy,Sichuan,3.6375133423364536,四川
22,EU,Energy,Sichuan,1.3682373933124463,四川
23,Non-EU,Energy,Sichuan,0.41524173729433256,四川
24,EA,Energy,Sichuan,4.346209610311041,四川
25,BRIIAT,Energy,Sichuan,2.8111754018474207,四川
26,NAFTA,Energy,Sichuan,1.8452164923646488,四川
27,RoW,Energy,Sichuan,7.737255326804502,四川
29,North,CO2,Sichuan,12.979804392616371,四川
30,Northeast,CO2,Sichuan,3.669553727342629,四川
31,Central,CO2,Sichuan,16.120109007285524,四川
32,Central Coast,CO2,Sichuan,7.94288744171873,四川
33,South Coast,CO2,Sichuan,5.073143597654077,四川
34,Southwest,CO2,Sichuan,10.27879168695649,四川
35,Northwest,CO2,Sichuan,10.434411698248715,四川
36,EU,CO2,Sichuan,1.6182843616226255,四川
37,Non-EU,CO2,Sichuan,0.6371389758825792,四川
38,EA,CO2,Sichuan,4.147289335059284,四川
39,BRIIAT,CO2,Sichuan,7.371024787369851,四川
40,NAFTA,CO2,Sichuan,3.1895393742808498,四川
41,RoW,CO2,Sichuan,11.306317227601728,四川
43,North,Land,Sichuan,183.34737673569555,四川
44,Northeast,Land,Sichuan,299.55832830233214,四川
45,Central,Land,Sichuan,803.7176710637336,四川
46,Central Coast,Land,Sichuan,84.99436215812815,四川
47,South Coast,Land,Sichuan,234.90657807304993,四川
48,Southwest,Land,Sichuan,1093.719448274222,四川
49,Northwest,Land,Sichuan,3167.0111553228853,四川
50,EU,Land,Sichuan,60.25203319096006,四川
51,Non-EU,Land,Sichuan,27.0516815850271,四川
52,EA,Land,Sichuan,11.549390068173196,四川
53,BRIIAT,Land,Sichuan,1977.1695543572375,四川
54,NAFTA,Land,Sichuan,808.0866197679085,四川
55,RoW,Land,Sichuan,3345.977551512214,四川
56,Sichuan,Water,North,3153.3993959183344,四川
70,Sichuan,Energy,North,5.696473286778984,四川
84,Sichuan,CO2,North,18.012855416066,四川
98,Sichuan,Land,North,2437.1405305820754,四川
112,Sichuan,Water,Northeast,591.9578193118155,四川
126,Sichuan,Energy,Northeast,1.5694316390125258,四川
140,Sichuan,CO2,Northeast,4.523459175826701,四川
154,Sichuan,Land,Northeast,452.5476017293949,四川
168,Sichuan,Water,Central,2396.6485675656004,四川
182,Sichuan,Energy,Central,6.674960999341627,四川
196,Sichuan,CO2,Central,19.63609063277036,四川
210,Sichuan,Land,Central,1830.5493023762406,四川
224,Sichuan,Water,Central Coast,2115.5324714636627,四川
238,Sichuan,Energy,Central Coast,4.2729649728624315,四川
252,Sichuan,CO2,Central Coast,13.037053153031914,四川
266,Sichuan,Land,Central Coast,1631.9987229808055,四川
280,Sichuan,Water,South Coast,1395.557273747916,四川
294,Sichuan,Energy,South Coast,4.840008448198626,四川
308,Sichuan,CO2,South Coast,13.719892762676066,四川
322,Sichuan,Land,South Coast,1058.5786861752183,四川
336,Sichuan,Water,Southwest,2616.054036372753,四川
350,Sichuan,Energy,Southwest,7.406000289412405,四川
364,Sichuan,CO2,Southwest,20.950833847081757,四川
378,Sichuan,Land,Southwest,2002.8581478169529,四川
392,Sichuan,Water,Northwest,2325.829805100331,四川
406,Sichuan,Energy,Northwest,4.558390379982147,四川
420,Sichuan,CO2,Northwest,13.838925120215459,四川
434,Sichuan,Land,Northwest,1791.1067543496313,四川
448,Sichuan,Water,EU,556.4787541399951,四川
462,Sichuan,Energy,EU,2.4756019786013157,四川
476,Sichuan,CO2,EU,6.64021878864409,四川
490,Sichuan,Land,EU,417.71308515826274,四川
504,Sichuan,Water,Non-EU,199.5357020444794,四川
518,Sichuan,Energy,Non-EU,0.8688364701876391,四川
532,Sichuan,CO2,Non-EU,2.3356704657373295,四川
546,Sichuan,Land,Non-EU,149.97989561855843,四川
560,Sichuan,Water,EA,464.85764424219843,四川
574,Sichuan,Energy,EA,2.01812775750138,四川
588,Sichuan,CO2,EA,5.427928887783961,四川
602,Sichuan,Land,EA,349.6545953395454,四川
616,Sichuan,Water,BRIIAT,537.4003700503328,四川
630,Sichuan,Energy,BRIIAT,2.248571023483491,四川
644,Sichuan,CO2,BRIIAT,6.0769789475835605,四川
658,Sichuan,Land,BRIIAT,404.4019760536605,四川
672,Sichuan,Water,NAFTA,1006.0417125512377,四川
686,Sichuan,Energy,NAFTA,4.191077146956135,四川
700,Sichuan,CO2,NAFTA,11.375891915379711,四川
714,Sichuan,Land,NAFTA,755.6353093760222,四川
728,Sichuan,Water,RoW,725.9716532345255,四川
742,Sichuan,Energy,RoW,3.5342796377264114,四川
756,Sichuan,CO2,RoW,9.379812701865823,四川
770,Sichuan,Land,RoW,542.7591883629595,四川
,source,EWCL,target,value,region
1,North,Water,Heilongjiang,3109.4984996433254,黑龙江
2,Northeast,Water,Heilongjiang,1923.0335570812945,黑龙江
3,Central,Water,Heilongjiang,1822.9163725727215,黑龙江
4,Central Coast,Water,Heilongjiang,770.3391417111199,黑龙江
5,South Coast,Water,Heilongjiang,154.84335000685388,黑龙江
6,Southwest,Water,Heilongjiang,418.9828309929462,黑龙江
7,Northwest,Water,Heilongjiang,849.1870536276182,黑龙江
8,EU,Water,Heilongjiang,63.830275393277894,黑龙江
9,Non-EU,Water,Heilongjiang,32.56846326249879,黑龙江
10,EA,Water,Heilongjiang,37.24424331746836,黑龙江
11,BRIIAT,Water,Heilongjiang,1422.3986355952886,黑龙江
12,NAFTA,Water,Heilongjiang,885.4547537516164,黑龙江
